# length[AA] press[atm] err
90.00000 24.88965 0.55897
95.00000 21.55821 0.44991
97.00000 20.39192 0.40480
99.00000 19.29615 0.37958
100.00000 18.75319 0.36912
105.00000 16.40704 0.30893
110.00000 14.39335 0.23852
115.00000 12.71300 0.21290
120.00000 11.28390 0.18445
125.00000 10.03630 0.14622
129.00000 9.16209 0.14002
129.80000 8.99791 0.13998
130.00000 8.94350 0.13739
133.00000 8.38034 0.14061
134.00000 8.20926 0.14038
135.00000 8.04060 0.12904
139.00000 7.38624 0.10562
141.00000 7.08006 0.10490
141.50000 7.00675 0.10979
148.00000 6.15227 0.09304
149.00000 6.03521 0.09964
158.00000 5.07921 0.07813
159.00000 4.98383 0.08245
170.00000 4.08914 0.06770
171.00000 4.02473 0.05834
189.00000 2.99256 0.04456
216.00000 2.01239 0.03115
216.50000 1.99775 0.04037
270.00000 1.03571 0.02191
271.00000 1.02408 0.01794
