# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 583.716 0.00926391 3.19691
8000 300.429 0.00926391 4.95605
12000 300.918 0.00926391 5.20462
16000 298.955 0.00926391 5.16037
20000 299.388 0.00926391 5.17029
24000 301.811 0.00926391 4.79338
28000 300.651 0.00926391 4.84275
32000 299.559 0.00926391 5.00281
36000 299.935 0.00926391 4.98271
40000 300.504 0.00926391 4.97669
44000 300.179 0.00926391 5.10571
48000 301.248 0.00926391 4.69136
52000 299.99 0.00926391 4.72478
56000 300.785 0.00926391 4.94385
60000 299.907 0.00926391 5.26408
64000 300.441 0.00926391 5.00362
68000 299.184 0.00926391 4.84154
72000 301.507 0.00926391 4.92331
76000 301.461 0.00926391 4.78343
80000 299.97 0.00926391 5.07735
84000 301.748 0.00926391 4.9449
88000 301.858 0.00926391 4.83774
92000 301.247 0.00926391 5.02419
96000 301.101 0.00926391 4.84149
100000 301.207 0.00926391 4.85534
104000 299.658 0.00926391 4.79608
108000 300.626 0.00926391 4.88595
112000 299.604 0.00926391 4.88476
116000 302.397 0.00926391 4.9103
120000 301.303 0.00926391 4.83674
124000 301.155 0.00926391 4.89169
128000 301.747 0.00926391 4.84317
132000 300.813 0.00926391 4.85846
136000 300.804 0.00926391 4.93303
140000 300.497 0.00926391 4.73297
144000 300.794 0.00926391 4.94906
148000 299.906 0.00926391 4.83248
152000 299.886 0.00926391 4.83353
156000 301.406 0.00926391 4.76748
160000 300.883 0.00926391 4.80346
164000 300.376 0.00926391 4.92729
168000 300.808 0.00926391 4.71421
172000 301.932 0.00926391 4.78607
176000 300.137 0.00926391 4.80598
180000 300.828 0.00926391 4.79494
184000 302.446 0.00926391 4.86181
188000 299.259 0.00926391 4.65275
192000 298.993 0.00926391 4.79116
196000 301.785 0.00926391 4.82418
200000 301.78 0.00926391 4.8829
204000 299.791 0.00926391 4.58604
208000 297.874 0.00926391 4.74672
212000 297.541 0.00926391 4.82663
216000 302.642 0.00926391 4.93981
220000 301.174 0.00926391 4.66113
224000 301.717 0.00926391 5.03136
228000 300.943 0.00926391 5.02551
232000 298.48 0.00926391 4.6961
236000 301.521 0.00926391 4.65794
240000 299.471 0.00926391 4.94756
244000 301.496 0.00926391 4.75771
248000 300.465 0.00926391 4.70185
252000 298.723 0.00926391 4.90363
256000 300.023 0.00926391 4.64157
260000 299.111 0.00926391 4.72434
264000 298.901 0.00926391 4.75641
268000 301.79 0.00926391 4.90273
272000 299.935 0.00926391 4.83565
276000 300.031 0.00926391 4.79181
280000 299.893 0.00926391 4.93596
284000 299.709 0.00926391 4.67902
288000 301.602 0.00926391 4.73058
292000 299.353 0.00926391 4.64194
296000 301.077 0.00926391 4.85336
300000 299.326 0.00926391 4.80791
304000 300.509 0.00926391 4.80344
308000 299.995 0.00926391 4.73807
312000 299.003 0.00926391 4.8155
316000 299.664 0.00926391 4.84368
320000 301.229 0.00926391 4.84733
324000 301.094 0.00926391 4.86326
328000 300.083 0.00926391 4.86625
332000 300.153 0.00926391 4.84462
336000 297.987 0.00926391 4.9967
340000 301.047 0.00926391 4.80668
344000 301.13 0.00926391 4.83296
348000 299.084 0.00926391 4.87403
352000 300.55 0.00926391 4.87875
356000 298.757 0.00926391 4.8695
360000 299.831 0.00926391 4.89963
364000 300.801 0.00926391 4.65153
368000 300.475 0.00926391 4.9249
372000 300.48 0.00926391 4.8313
376000 300.93 0.00926391 4.87016
380000 300.187 0.00926391 4.90371
384000 302.696 0.00926391 4.88252
388000 300.122 0.00926391 5.02915
392000 301.724 0.00926391 4.8155
396000 300.43 0.00926391 4.89641
400000 301.723 0.00926391 4.92351
404000 302.169 0.00926391 4.88797
408000 300.357 0.00926391 4.82343
412000 300.256 0.00926391 4.91299
416000 301.343 0.00926391 4.75828
420000 299.274 0.00926391 4.97763
424000 299.822 0.00926391 4.92485
428000 300.022 0.00926391 4.88635
432000 300.668 0.00926391 4.8529
436000 299.25 0.00926391 4.8637
440000 300.982 0.00926391 5.0186
444000 300.596 0.00926391 4.90404
448000 299.686 0.00926391 4.96776
452000 295.795 0.00926391 4.71271
456000 301.281 0.00926391 5.09429
460000 301.222 0.00926391 4.95435
464000 299.367 0.00926391 4.93722
468000 300.596 0.00926391 4.97046
472000 299.329 0.00926391 4.98864
476000 300.037 0.00926391 5.06086
480000 300.288 0.00926391 5.04595
484000 300.325 0.00926391 4.95078
488000 301.185 0.00926391 4.82481
