# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
0 0 0 0 0 320 350
400 64 0 36 0 320 350
800 121 0 79 0 320 350
1200 175 0 125 0 320 350
1600 228 0 172 0 320 350
2000 278 0 222 0 320 350
2400 329 0 271 0 320 350
2800 392 0 308 0 320 350
3200 439 0 361 0 320 350
3600 495 0 405 0 320 350
4000 544 0 456 0 320 350
4400 598 0 502 0 320 350
4800 649 0 551 0 320 350
5200 699 0 601 0 320 350
5600 752 0 648 0 320 350
6000 797 0 703 0 320 350
6400 847 0 753 0 320 350
6800 894 0 806 0 320 350
7200 944 0 856 0 320 350
7600 1002 0 898 0 320 350
8000 1055 0 945 0 320 349
8400 1107 0 993 0 320 349
8800 1152 0 1048 0 320 349
9200 1204 0 1096 0 320 349
9600 1250 0 1150 0 320 349
10000 1310 0 1190 0 320 349
10400 1361 0 1239 0 320 349
10800 1416 0 1284 0 320 349
11200 1462 0 1338 0 320 349
11600 1519 0 1381 0 320 349
12000 1568 0 1432 0 320 349
12400 1607 0 1493 0 320 349
12800 1657 0 1543 0 320 349
13200 1710 0 1590 0 320 349
13600 1753 0 1647 0 320 349
14000 1810 0 1690 0 320 349
14400 1861 0 1739 0 320 349
14800 1916 0 1784 0 320 349
15200 1965 0 1835 0 320 349
15600 2016 0 1884 0 320 349
16000 2068 0 1932 0 320 349
16400 2122 0 1978 0 320 349
16800 2161 0 2039 0 320 349
17200 2218 0 2082 0 320 349
17600 2280 0 2120 0 320 349
18000 2328 0 2172 0 320 349
18400 2377 0 2223 0 320 349
18800 2423 0 2277 0 320 349
19200 2467 0 2333 0 320 349
19600 2509 0 2391 0 320 349
20000 2555 0 2445 0 320 349
20400 2607 0 2493 0 320 349
20800 2662 0 2538 0 320 349
21200 2711 0 2589 0 320 349
21600 2767 0 2633 0 320 349
22000 2810 0 2690 0 320 349
22400 2861 0 2739 0 320 349
22800 2909 0 2791 0 320 349
23200 2956 0 2844 0 320 349
23600 3013 0 2887 0 320 348
24000 3070 0 2930 0 320 348
24400 3126 0 2974 0 320 348
24800 3170 0 3030 0 320 348
25200 3219 0 3081 0 320 348
25600 3271 0 3129 0 320 348
26000 3319 0 3181 0 320 348
26400 3376 0 3224 0 320 348
26800 3424 0 3276 0 320 348
27200 3469 0 3331 0 320 348
27600 3521 0 3379 0 320 348
28000 3570 0 3430 0 320 348
28400 3621 0 3479 0 320 348
28800 3672 0 3528 0 320 348
29200 3721 0 3579 0 320 348
29600 3776 0 3624 0 320 348
30000 3824 0 3676 0 320 348
30400 3878 0 3722 0 320 348
30800 3926 0 3774 0 320 348
31200 3978 0 3822 0 320 348
31600 4026 0 3874 0 320 348
32000 4082 0 3918 0 320 348
32400 4131 0 3969 0 320 348
32800 4178 0 4022 0 320 348
33200 4221 0 4079 0 320 348
33600 4272 0 4128 0 320 348
34000 4327 0 4173 0 320 348
34400 4369 0 4231 0 320 348
34800 4418 0 4282 0 320 348
35200 4465 0 4335 0 320 348
35600 4516 0 4384 0 320 348
36000 4566 0 4434 0 320 348
36400 4619 0 4481 0 320 348
36800 4670 0 4530 0 320 348
37200 4715 0 4585 0 320 348
37600 4767 0 4633 0 320 348
38000 4827 0 4673 0 320 348
38400 4878 0 4722 0 320 348
38800 4927 0 4773 0 320 348
39200 4980 0 4820 0 320 348
39600 5023 0 4877 0 320 348
40000 5072 0 4928 0 320 348
40400 5131 0 4969 0 320 348
40800 5185 0 5015 0 320 348
41200 5239 0 5061 0 320 348
41600 5283 0 5117 0 320 348
42000 5321 0 5179 0 320 348
42400 5369 0 5231 0 320 348
42800 5414 0 5286 0 320 348
43200 5469 0 5331 0 320 348
43600 5518 0 5382 0 320 348
44000 5572 0 5428 0 320 348
44400 5616 0 5484 0 320 348
44800 5666 0 5534 0 320 348
45200 5714 0 5586 0 320 348
45600 5769 0 5631 0 320 348
46000 5820 0 5680 0 320 348
46400 5865 0 5735 0 320 348
46800 5907 0 5793 0 320 348
47200 5958 0 5842 0 320 348
47600 6016 0 5884 0 320 348
48000 6064 0 5936 0 320 348
48400 6115 0 5985 0 320 348
48800 6163 0 6037 0 320 348
49200 6214 0 6086 0 320 348
49600 6262 0 6138 0 320 348
50000 6316 0 6184 0 320 348
50400 6365 0 6235 0 320 348
50800 6414 0 6286 0 320 348
51200 6471 0 6329 0 320 347
51600 6518 0 6382 0 320 347
52000 6573 0 6427 0 320 347
52400 6624 0 6476 0 320 347
52800 6672 0 6528 0 320 347
53200 6720 0 6580 0 320 347
53600 6768 0 6632 0 320 347
54000 6821 0 6679 0 320 347
54400 6868 0 6732 0 320 347
54800 6917 0 6783 0 320 347
55200 6961 0 6839 0 320 347
55600 7013 0 6887 0 320 347
56000 7065 0 6935 0 320 347
56400 7119 0 6981 0 320 347
56800 7162 0 7038 0 320 347
57200 7204 0 7096 0 320 347
57600 7251 0 7149 0 320 347
58000 7311 0 7189 0 320 347
58400 7363 0 7237 0 320 347
58800 7415 0 7285 0 320 347
59200 7468 0 7332 0 320 347
59600 7517 0 7383 0 320 347
60000 7566 0 7434 0 320 347
60400 7620 0 7480 0 320 347
60800 7667 0 7533 0 320 347
61200 7723 0 7577 0 320 347
61600 7777 0 7623 0 320 347
62000 7823 0 7677 0 320 347
62400 7873 0 7727 0 320 347
62800 7922 0 7778 0 320 347
63200 7970 0 7830 0 320 347
63600 8023 0 7877 0 320 347
64000 8067 0 7933 0 320 346
64400 8106 0 7994 0 320 346
64800 8154 0 8046 0 320 346
65200 8201 0 8099 0 320 346
65600 8258 0 8142 0 320 346
66000 8313 0 8187 0 320 346
66400 8363 0 8237 0 320 346
66800 8411 0 8289 0 320 346
67200 8458 0 8342 0 320 346
67600 8515 0 8385 0 320 346
68000 8559 0 8441 0 320 346
68400 8612 0 8488 0 320 346
68800 8664 0 8536 0 320 346
69200 8718 0 8582 0 320 346
69600 8767 0 8633 0 320 346
70000 8822 0 8678 0 320 346
70400 8867 0 8733 0 320 346
70800 8920 0 8780 0 320 346
71200 8978 0 8822 0 320 346
71600 9031 0 8869 0 320 346
72000 9083 0 8917 0 320 346
72400 9118 0 8982 0 320 346
72800 9170 0 9030 0 320 346
73200 9224 0 9076 0 320 346
73600 9274 0 9126 0 320 346
74000 9319 0 9181 0 320 346
74400 9362 0 9238 0 320 346
74800 9413 0 9287 0 320 346
75200 9465 0 9335 0 320 346
75600 9510 0 9390 0 320 346
76000 9561 0 9439 0 320 346
76400 9603 0 9497 0 320 346
76800 9647 0 9553 0 320 346
77200 9691 0 9609 0 320 346
77600 9736 0 9664 0 320 346
78000 9781 0 9719 0 320 346
78400 9829 0 9771 0 320 346
78800 9882 0 9818 0 320 346
79200 9929 0 9871 0 320 346
79600 9977 0 9923 0 320 346
80000 10032 0 9968 0 320 346
80400 10081 0 10019 0 320 346
80800 10134 0 10066 0 320 346
81200 10188 0 10112 0 320 346
81600 10241 0 10159 0 320 346
82000 10286 0 10214 0 320 346
82400 10331 0 10269 0 320 346
82800 10375 0 10325 0 320 346
83200 10420 0 10380 0 320 346
83600 10473 0 10427 0 320 346
84000 10519 0 10481 0 320 346
84400 10570 0 10530 0 320 346
84800 10626 0 10574 0 320 346
85200 10678 0 10622 0 320 346
85600 10734 0 10666 0 320 346
86000 10778 0 10722 0 320 346
86400 10832 0 10768 0 320 346
86800 10880 0 10820 0 320 346
87200 10926 0 10874 0 320 346
87600 10973 0 10927 0 320 346
88000 11022 0 10978 0 320 346
88400 11070 0 11030 0 320 346
88800 11117 0 11083 0 320 346
89200 11169 0 11131 0 320 346
89600 11222 0 11178 0 320 346
90000 11275 0 11225 0 320 346
90400 11324 0 11276 0 320 346
90800 11374 0 11326 0 320 346
91200 11429 0 11371 0 320 346
91600 11483 0 11417 0 320 346
92000 11537 0 11463 0 320 346
92400 11588 0 11512 0 320 346
92800 11645 0 11555 0 320 346
93200 11696 0 11604 0 320 346
93600 11746 0 11654 0 320 346
94000 11791 0 11709 0 320 346
94400 11840 0 11760 0 320 346
94800 11886 0 11814 0 320 346
95200 11938 0 11862 0 320 345
95600 11985 0 11915 0 320 345
96000 12032 0 11968 0 320 345
96400 12087 0 12013 0 320 345
96800 12134 0 12066 0 320 345
97200 12180 0 12120 0 320 345
97600 12234 0 12166 0 320 345
98000 12283 0 12217 0 320 345
98400 12330 0 12270 0 320 345
98800 12386 0 12314 0 320 345
99200 12444 0 12356 0 320 345
99600 12505 0 12395 0 320 345
100000 12553 0 12447 0 320 345
100400 12602 0 12498 0 320 345
100800 12652 0 12548 0 320 345
101200 12696 0 12604 0 320 345
101600 12744 0 12656 0 320 345
102000 12803 0 12697 0 320 345
102400 12855 0 12745 0 320 345
102800 12908 0 12792 0 320 345
103200 12953 0 12847 0 320 345
103600 13001 0 12899 0 320 345
104000 13052 0 12948 0 320 345
104400 13103 0 12997 0 320 345
104800 13153 0 13047 0 320 345
105200 13206 0 13094 0 320 345
105600 13266 0 13134 0 320 345
106000 13313 0 13187 0 320 345
106400 13361 0 13239 0 320 345
106800 13410 0 13290 0 320 345
107200 13453 0 13347 0 320 345
107600 13498 0 13402 0 320 345
108000 13553 0 13447 0 320 345
108400 13609 0 13491 0 320 345
108800 13658 0 13542 0 320 345
109200 13709 0 13591 0 320 345
109600 13755 0 13645 0 320 345
110000 13803 0 13697 0 320 345
110400 13854 0 13746 0 320 345
110800 13900 0 13800 0 320 345
111200 13949 0 13851 0 320 345
111600 14008 0 13892 0 320 345
112000 14067 0 13933 0 320 345
112400 14127 0 13973 0 320 345
112800 14187 0 14013 0 320 345
113200 14239 0 14061 0 320 345
113600 14294 0 14106 0 320 345
114000 14341 0 14159 0 320 345
114400 14394 0 14206 0 320 345
114800 14443 0 14257 0 320 345
115200 14486 0 14314 0 320 345
115600 14539 0 14361 0 320 345
116000 14591 0 14409 0 320 345
116400 14646 0 14454 0 320 345
116800 14704 0 14496 0 320 345
117200 14753 0 14547 0 320 345
117600 14805 0 14595 0 320 345
118000 14853 0 14647 0 320 345
118400 14913 0 14687 0 320 345
118800 14961 0 14739 0 320 345
119200 15007 0 14793 0 320 345
119600 15057 0 14843 0 320 345
120000 15101 0 14899 0 320 345
120400 15147 0 14953 0 320 345
120800 15197 0 15003 0 320 345
121200 15248 0 15052 0 320 345
121600 15302 0 15098 0 320 345
122000 15353 0 15147 0 320 345
122400 15401 0 15199 0 320 345
122800 15445 0 15255 0 320 345
123200 15489 0 15311 0 320 345
123600 15540 0 15360 0 320 345
124000 15591 0 15409 0 320 345
124400 15637 0 15463 0 320 345
124800 15681 0 15519 0 320 345
125200 15738 0 15562 0 320 345
125600 15795 0 15605 0 320 345
126000 15846 0 15654 0 320 345
126400 15900 0 15700 0 320 345
126800 15945 0 15755 0 320 345
127200 16000 0 15800 0 320 345
127600 16049 0 15851 0 320 345
128000 16096 0 15904 0 320 345
128400 16145 0 15955 0 320 345
128800 16195 0 16005 0 320 345
129200 16238 0 16062 0 320 345
129600 16284 0 16116 0 320 345
130000 16340 0 16160 0 320 345
130400 16396 0 16204 0 320 345
130800 16452 0 16248 0 320 345
131200 16498 0 16302 0 320 345
131600 16552 0 16348 0 320 345
132000 16601 0 16399 0 320 345
132400 16655 0 16445 0 320 345
132800 16712 0 16488 0 320 345
133200 16768 0 16532 0 320 345
133600 16820 0 16580 0 320 345
134000 16864 0 16636 0 320 345
134400 16913 0 16687 0 320 345
134800 16956 0 16744 0 320 345
135200 17008 0 16792 0 320 345
135600 17057 0 16843 0 320 345
136000 17104 0 16896 0 320 345
136400 17147 0 16953 0 320 345
136800 17192 0 17008 0 320 345
137200 17238 0 17062 0 320 345
137600 17290 0 17110 0 320 345
138000 17335 0 17165 0 320 345
138400 17388 0 17212 0 320 344
138800 17435 0 17265 0 320 344
139200 17489 0 17311 0 320 344
139600 17536 0 17364 0 320 344
140000 17583 0 17417 0 320 344
140400 17637 0 17463 0 320 344
140800 17685 0 17515 0 320 344
141200 17726 0 17574 0 320 344
141600 17779 0 17621 0 320 344
142000 17836 0 17664 0 320 344
142400 17898 0 17702 0 320 344
142800 17947 0 17753 0 320 344
143200 17989 0 17811 0 320 344
143600 18038 0 17862 0 320 344
144000 18086 0 17914 0 320 344
144400 18134 0 17966 0 320 344
144800 18185 0 18015 0 320 344
145200 18242 0 18058 0 320 344
145600 18294 0 18106 0 320 344
146000 18348 0 18152 0 320 344
146400 18395 0 18205 0 320 344
146800 18446 0 18254 0 320 344
147200 18492 0 18308 0 320 344
147600 18549 0 18351 0 320 344
148000 18601 0 18399 0 320 344
148400 18643 0 18457 0 320 344
148800 18695 0 18505 0 320 344
149200 18737 0 18563 0 320 344
149600 18782 0 18618 0 320 344
150000 18836 0 18664 0 320 344
150400 18878 0 18722 0 320 344
150800 18926 0 18774 0 320 344
151200 18979 0 18821 0 320 344
151600 19030 0 18870 0 320 344
152000 19078 0 18922 0 320 344
152400 19129 0 18971 0 320 344
152800 19177 0 19023 0 320 344
153200 19219 0 19081 0 320 344
153600 19266 0 19134 0 320 344
154000 19312 0 19188 0 320 344
154400 19363 0 19237 0 320 344
154800 19428 0 19272 0 320 344
155200 19468 0 19332 0 320 344
