# Time-averaged data for fix nvtstat
# TimeStep v_mtemp c_mdtemp v_mpress v_mke v_mpe v_metot
10000 300.929 300.929 1976.05 521.615 -2571.61 -2050
20000 298.791 298.791 1979.82 517.165 -2563.79 -2046.62
30000 299.061 299.061 1833.03 516.146 -2572.81 -2056.67
40000 301.872 301.872 1828.6 520.997 -2571.15 -2050.15
50000 301.758 301.758 1747.04 520.8 -2573 -2052.19
60000 301.781 301.781 1827.67 519.341 -2555.64 -2036.3
70000 300.446 300.446 1773.2 515.551 -2560.05 -2044.5
80000 302.208 302.208 1868.2 518.575 -2548.25 -2029.67
90000 301.953 301.953 1762.35 518.137 -2555.77 -2037.63
100000 299.545 299.545 1675.82 512.517 -2556.22 -2043.7
110000 298.736 298.736 1723.28 511.133 -2544.74 -2033.61
120000 302.703 302.703 1671.14 517.92 -2548.3 -2030.38
130000 300.707 300.707 1598.52 514.506 -2551.83 -2037.32
140000 300.956 300.956 1624.34 514.328 -2547.64 -2033.31
150000 299.85 299.85 1807.54 511.549 -2528.73 -2017.18
160000 300.468 300.468 1615.63 512.603 -2540.81 -2028.21
170000 301.098 301.098 1781.81 512.703 -2530.46 -2017.76
180000 301.055 301.055 1548.01 512.11 -2544.84 -2032.73
190000 300.191 300.191 1656.7 510.64 -2536.82 -2026.18
200000 299.093 299.093 1657.96 508.771 -2521.58 -2012.81
210000 300.727 300.727 1611.13 510.357 -2513.91 -2003.55
220000 301.878 301.878 1584.98 512.009 -2520.47 -2008.46
230000 302.884 302.884 1782.19 513.716 -2518.71 -2004.99
240000 299.77 299.77 1507.29 506.944 -2527.7 -2020.75
250000 299.566 299.566 1470.62 505.111 -2515.72 -2010.61
260000 298.426 298.426 1464.38 503.189 -2516.84 -2013.65
270000 300.774 300.774 1320.98 505.654 -2504.39 -1998.74
280000 300.917 300.917 1320.42 505.895 -2504.53 -1998.63
290000 301.078 301.078 1495.54 506.166 -2494.98 -1988.82
300000 299.619 299.619 1611.7 503.712 -2484.75 -1981.04
310000 300.764 300.764 1450.66 505.638 -2506.89 -2001.25
320000 300.09 300.09 1254.32 502.266 -2494.8 -1992.53
330000 298.408 298.408 1178.57 500.194 -2509.83 -2009.64
340000 301.754 301.754 1430.38 505.802 -2488.17 -1982.37
350000 301.44 301.44 1428.09 505.276 -2505.2 -1999.92
360000 300.28 300.28 1336.96 501.84 -2490.16 -1988.33
370000 299.478 299.478 1306.61 499.756 -2478.79 -1979.03
380000 302.578 302.578 1381.93 503.425 -2467.26 -1963.83
390000 298.732 298.732 1117.79 496.284 -2478.52 -1982.24
400000 299.217 299.217 1110.18 497.09 -2473.63 -1976.54
410000 299.517 299.517 1198.84 497.589 -2480.85 -1983.26
420000 300.103 300.103 1192.73 498.563 -2472.35 -1973.79
430000 300.4 300.4 1257.12 499.056 -2452.91 -1953.85
440000 301.703 301.703 1146.88 502.568 -2480.82 -1978.25
450000 299.583 299.583 1210.64 499.187 -2480.83 -1981.64
460000 301.49 301.49 1184.52 502.364 -2468.34 -1965.97
470000 300.733 300.733 1255.16 501.103 -2473.44 -1972.34
480000 302.02 302.02 1360.35 504.37 -2477.37 -1973
490000 300.751 300.751 1368.06 502.627 -2471.6 -1968.97
500000 299.756 299.756 1345.96 500.965 -2480.72 -1979.75
510000 300.739 300.739 1272.04 501.114 -2472.31 -1971.2
520000 299.224 299.224 1101.92 498.589 -2469.57 -1970.98
530000 301.32 301.32 1235.55 502.082 -2480.01 -1977.92
540000 301.504 301.504 1275.33 502.388 -2469.7 -1967.32
550000 300.474 300.474 1257.14 500.672 -2464.66 -1963.99
560000 301.799 301.799 1240.3 502.879 -2474.26 -1971.38
570000 302.426 302.426 1306.43 503.925 -2450.72 -1946.8
580000 301.178 301.178 1180.21 501.845 -2476.57 -1974.73
590000 299.614 299.614 1287.42 499.238 -2459.36 -1960.12
600000 298.472 298.472 1058.98 495.852 -2468.48 -1972.63
610000 303.437 303.437 1249.07 504.102 -2462.61 -1958.51
620000 302.227 302.227 1062.62 499.088 -2456.93 -1957.84
630000 300.14 300.14 1150.35 494.151 -2451.33 -1957.18
640000 299.709 299.709 1202.08 493.441 -2443.24 -1949.8
650000 299.304 299.304 1008.47 491.287 -2436.05 -1944.76
660000 300.668 300.668 1143.27 493.526 -2438.21 -1944.69
670000 301.803 301.803 891.197 495.389 -2440.77 -1945.38
680000 298.819 298.819 1057.72 490.64 -2435.09 -1944.45
690000 300.168 300.168 1064.03 494.197 -2443.96 -1949.76
700000 299.838 299.838 1062.55 494.255 -2444.26 -1950.01
710000 302.282 302.282 1062.87 498.277 -2446.77 -1948.49
720000 300.55 300.55 1034.34 494.227 -2438.62 -1944.39
730000 300.173 300.173 1092.51 492.714 -2429.32 -1936.6
740000 299.152 299.152 971.842 491.038 -2440.2 -1949.16
750000 300.388 300.388 1077.78 491.575 -2428.2 -1936.63
760000 301.015 301.015 1000.54 489.61 -2405.44 -1915.83
770000 300.17 300.17 897.928 488.235 -2414.98 -1926.75
780000 300.966 300.966 854.226 489.53 -2412.62 -1923.09
790000 297.855 297.855 855.551 483.583 -2409.13 -1925.54
800000 302.786 302.786 941.159 490.985 -2390.68 -1899.69
810000 298.266 298.266 871.815 482.772 -2385.66 -1902.89
820000 302.321 302.321 906.142 488.73 -2376.44 -1887.71
830000 301.499 301.499 761.178 485.903 -2364.96 -1879.06
840000 299.928 299.928 794.008 483.371 -2358.67 -1875.3
850000 299.756 299.756 811.485 484.288 -2379.72 -1895.44
860000 301.042 301.042 840.345 488.158 -2391.87 -1903.71
870000 302.057 302.057 844.364 489.804 -2384.55 -1894.75
880000 301.526 301.526 932.936 488.943 -2375.74 -1886.8
890000 298.231 298.231 844.717 479.155 -2360.1 -1880.95
900000 299.537 299.537 667.122 481.253 -2355.75 -1874.5
910000 299.656 299.656 866.389 481.444 -2346.3 -1864.86
920000 300.032 300.032 716.359 483.908 -2364.88 -1880.97
930000 302.26 302.26 617.353 488.632 -2374.08 -1885.45
940000 300.331 300.331 799.025 488.497 -2384.03 -1895.53
950000 301.081 301.081 841.945 488.222 -2384.53 -1896.3
960000 301.649 301.649 891.902 490.64 -2383.7 -1893.06
970000 301.039 301.039 924.189 489.649 -2380.57 -1890.92
980000 300.924 300.924 1083.23 489.169 -2361.82 -1872.65
990000 299.736 299.736 813.265 487.53 -2385.53 -1898
1000000 299.447 299.447 790.015 488.175 -2400 -1911.83
