# Time-averaged data for fix cgcmcstat
# TimeStep v_ciatt v_ciacc v_cdatt v_cdacc v_nco2 v_nmob
0 0 0 0 0 30 350
400 49 0 51 0 30 350
800 101 0 99 0 30 350
1200 145 0 155 0 30 350
1600 194 0 206 0 30 350
2000 246 0 254 0 30 350
2400 296 0 304 0 30 350
2800 342 0 358 0 30 350
3200 396 0 404 0 30 350
3600 456 0 444 0 30 350
4000 503 0 497 0 30 350
4400 546 0 554 0 30 350
4800 603 0 597 0 30 350
5200 651 0 649 0 30 350
5600 710 0 690 0 30 350
6000 762 0 738 0 30 350
6400 813 0 787 0 30 350
6800 868 0 832 0 30 350
7200 910 0 890 0 30 350
7600 954 0 946 0 30 350
8000 1014 0 986 1 29 349
8400 1063 0 1037 1 29 349
8800 1117 0 1083 1 29 349
9200 1167 0 1133 1 29 349
9600 1217 0 1183 1 29 349
10000 1262 0 1238 1 29 349
10400 1306 0 1294 1 29 349
10800 1358 0 1342 1 29 349
11200 1414 0 1386 1 29 349
11600 1463 0 1437 1 29 349
12000 1512 0 1488 1 29 349
12400 1560 0 1540 1 29 349
12800 1615 0 1585 1 29 349
13200 1670 0 1630 1 29 349
13600 1723 0 1677 1 29 349
14000 1763 0 1737 1 29 349
14400 1803 0 1797 1 29 349
14800 1859 0 1841 1 29 349
15200 1912 0 1888 1 29 349
15600 1959 0 1941 1 29 349
16000 2013 0 1987 1 29 349
16400 2054 0 2046 1 29 349
16800 2106 0 2094 1 29 349
17200 2154 0 2146 1 29 349
17600 2207 0 2193 1 29 349
18000 2261 0 2239 1 29 349
18400 2308 0 2292 1 29 349
18800 2351 0 2349 1 29 349
19200 2403 0 2397 1 29 349
19600 2451 0 2449 1 29 349
20000 2495 0 2505 1 29 349
20400 2545 0 2555 1 29 349
20800 2591 0 2609 1 29 349
21200 2636 0 2664 1 29 349
21600 2696 0 2704 1 29 349
22000 2740 0 2760 1 29 349
22400 2792 0 2808 1 29 349
22800 2840 0 2860 1 29 349
23200 2897 0 2903 1 29 349
23600 2943 0 2957 2 28 348
24000 2995 0 3005 2 28 348
24400 3045 0 3055 2 28 348
24800 3092 0 3108 2 28 348
25200 3144 0 3156 2 28 348
25600 3196 0 3204 2 28 348
26000 3246 0 3254 2 28 348
26400 3299 0 3301 2 28 348
26800 3340 0 3360 2 28 348
27200 3383 0 3417 2 28 348
27600 3440 0 3460 2 28 348
28000 3485 0 3515 2 28 348
28400 3546 0 3554 2 28 348
28800 3603 0 3597 2 28 348
29200 3658 0 3642 2 28 348
29600 3708 0 3692 2 28 348
30000 3758 0 3742 2 28 348
30400 3817 0 3783 2 28 348
30800 3869 0 3831 2 28 348
31200 3917 0 3883 2 28 348
31600 3965 0 3935 2 28 348
32000 4023 0 3977 2 28 348
32400 4078 0 4022 2 28 348
32800 4132 0 4068 2 28 348
33200 4190 0 4110 2 28 348
33600 4243 0 4157 2 28 348
34000 4298 0 4202 2 28 348
34400 4348 0 4252 2 28 348
34800 4400 0 4300 2 28 348
35200 4451 0 4349 2 28 348
35600 4508 0 4392 2 28 348
36000 4551 0 4449 2 28 348
36400 4603 0 4497 2 28 348
36800 4649 0 4551 2 28 348
37200 4694 0 4606 2 28 348
37600 4739 0 4661 2 28 348
38000 4791 0 4709 2 28 348
38400 4841 0 4759 2 28 348
38800 4887 0 4813 2 28 348
39200 4941 0 4859 2 28 348
39600 4985 0 4915 2 28 348
40000 5047 0 4953 2 28 348
40400 5100 0 5000 2 28 348
40800 5146 0 5054 2 28 348
41200 5198 0 5102 2 28 348
41600 5247 0 5153 2 28 348
42000 5301 0 5199 2 28 348
42400 5360 0 5240 2 28 348
42800 5408 0 5292 2 28 348
43200 5456 0 5344 2 28 348
43600 5504 0 5396 2 28 348
44000 5550 0 5450 2 28 348
44400 5606 0 5494 2 28 348
44800 5661 0 5539 2 28 348
45200 5715 0 5585 2 28 348
45600 5759 0 5641 2 28 348
46000 5812 0 5688 2 28 348
46400 5860 0 5740 2 28 348
46800 5907 0 5793 2 28 348
47200 5957 0 5843 2 28 348
47600 6007 0 5893 2 28 348
48000 6049 0 5951 2 28 348
48400 6096 0 6004 2 28 348
48800 6140 0 6060 2 28 348
49200 6194 0 6106 2 28 348
49600 6244 0 6156 2 28 348
50000 6301 0 6199 2 28 348
50400 6358 0 6242 2 28 348
50800 6419 0 6281 2 28 348
51200 6470 0 6330 3 27 347
51600 6521 0 6379 3 27 347
52000 6573 0 6427 3 27 347
52400 6615 0 6485 3 27 347
52800 6664 0 6536 3 27 347
53200 6712 0 6588 3 27 347
53600 6754 0 6646 3 27 347
54000 6798 0 6702 3 27 347
54400 6852 0 6748 3 27 347
54800 6901 0 6799 3 27 347
55200 6962 0 6838 3 27 347
55600 7015 0 6885 3 27 347
56000 7061 0 6939 3 27 347
56400 7112 0 6988 3 27 347
56800 7163 0 7037 3 27 347
57200 7210 0 7090 3 27 347
57600 7265 0 7135 3 27 347
58000 7314 0 7186 3 27 347
58400 7370 0 7230 3 27 347
58800 7412 0 7288 3 27 347
59200 7462 0 7338 3 27 347
59600 7506 0 7394 3 27 347
60000 7559 0 7441 3 27 347
60400 7613 0 7487 3 27 347
60800 7659 0 7541 3 27 347
61200 7714 0 7586 3 27 347
61600 7773 0 7627 3 27 347
62000 7817 0 7683 3 27 347
62400 7865 0 7735 3 27 347
62800 7913 0 7787 3 27 347
63200 7966 0 7834 3 27 347
63600 8020 0 7880 3 27 347
64000 8068 0 7932 4 26 346
64400 8119 0 7981 4 26 346
64800 8172 0 8028 4 26 346
65200 8218 0 8082 4 26 346
65600 8266 0 8134 4 26 346
66000 8325 0 8175 4 26 346
66400 8381 0 8219 4 26 346
66800 8429 0 8271 4 26 346
67200 8478 0 8322 4 26 346
67600 8520 0 8380 4 26 346
68000 8571 0 8429 4 26 346
68400 8629 0 8471 4 26 346
68800 8679 0 8521 4 26 346
69200 8719 0 8581 4 26 346
69600 8762 0 8638 4 26 346
70000 8817 0 8683 4 26 346
70400 8872 0 8728 4 26 346
70800 8920 0 8780 4 26 346
71200 8975 0 8825 4 26 346
71600 9022 0 8878 4 26 346
72000 9075 0 8925 4 26 346
72400 9134 0 8966 4 26 346
72800 9184 0 9016 4 26 346
73200 9238 0 9062 4 26 346
73600 9281 0 9119 4 26 346
74000 9330 0 9170 4 26 346
74400 9389 0 9211 4 26 346
74800 9443 0 9257 4 26 346
75200 9492 0 9308 4 26 346
75600 9544 0 9356 4 26 346
76000 9588 0 9412 4 26 346
76400 9642 0 9458 4 26 346
76800 9697 0 9503 4 26 346
77200 9737 0 9563 4 26 346
77600 9789 0 9611 4 26 346
78000 9841 0 9659 4 26 346
78400 9893 0 9707 4 26 346
78800 9944 0 9756 4 26 346
79200 9993 0 9807 4 26 346
79600 10041 0 9859 4 26 346
80000 10088 0 9912 4 26 346
80400 10130 0 9970 4 26 346
80800 10186 0 10014 4 26 346
81200 10239 0 10061 4 26 346
81600 10297 0 10103 4 26 346
82000 10346 0 10154 4 26 346
82400 10397 0 10203 4 26 346
82800 10449 0 10251 4 26 346
83200 10492 0 10308 4 26 346
83600 10548 0 10352 4 26 346
84000 10600 0 10400 4 26 346
84400 10646 0 10454 4 26 346
84800 10700 0 10500 4 26 346
85200 10742 0 10558 4 26 346
85600 10797 0 10603 4 26 346
86000 10848 0 10652 4 26 346
86400 10897 0 10703 4 26 346
86800 10943 0 10757 4 26 346
87200 10987 0 10813 4 26 346
87600 11036 0 10864 4 26 346
88000 11084 0 10916 4 26 346
88400 11146 0 10954 4 26 346
88800 11194 0 11006 4 26 346
89200 11234 0 11066 4 26 346
89600 11285 0 11115 4 26 346
90000 11343 0 11157 4 26 346
90400 11389 0 11211 4 26 346
90800 11451 0 11249 4 26 346
91200 11506 0 11294 4 26 346
91600 11557 0 11343 4 26 346
92000 11605 0 11395 4 26 346
92400 11654 0 11446 4 26 346
92800 11707 0 11493 4 26 346
93200 11764 0 11536 4 26 346
93600 11809 0 11591 4 26 346
94000 11863 0 11637 4 26 346
94400 11919 0 11681 4 26 346
94800 11963 0 11737 4 26 346
95200 12014 0 11786 5 25 345
95600 12057 0 11843 5 25 345
96000 12102 0 11898 5 25 345
96400 12155 0 11945 5 25 345
96800 12209 0 11991 5 25 345
97200 12260 0 12040 5 25 345
97600 12308 0 12092 5 25 345
98000 12353 0 12147 5 25 345
98400 12402 0 12198 5 25 345
98800 12450 0 12250 5 25 345
99200 12497 0 12303 5 25 345
99600 12548 0 12352 5 25 345
100000 12590 0 12410 5 25 345
100400 12638 0 12462 5 25 345
100800 12685 0 12515 5 25 345
101200 12734 0 12566 5 25 345
101600 12777 0 12623 5 25 345
102000 12836 0 12664 5 25 345
102400 12888 0 12712 5 25 345
102800 12933 0 12767 5 25 345
103200 12982 0 12818 5 25 345
103600 13035 0 12865 5 25 345
104000 13083 0 12917 5 25 345
104400 13132 0 12968 5 25 345
104800 13176 0 13024 5 25 345
105200 13220 0 13080 5 25 345
105600 13274 0 13126 5 25 345
106000 13320 0 13180 5 25 345
106400 13376 0 13224 5 25 345
106800 13437 0 13263 5 25 345
107200 13480 0 13320 5 25 345
107600 13527 0 13373 5 25 345
108000 13583 0 13417 5 25 345
108400 13629 0 13471 5 25 345
108800 13681 0 13519 5 25 345
109200 13715 0 13585 5 25 345
109600 13761 0 13639 5 25 345
110000 13815 0 13685 5 25 345
110400 13857 0 13743 5 25 345
110800 13916 0 13784 5 25 345
111200 13963 0 13837 5 25 345
111600 14011 0 13889 5 25 345
112000 14060 0 13940 5 25 345
112400 14110 0 13990 5 25 345
112800 14168 0 14032 5 25 345
113200 14222 0 14078 5 25 345
113600 14270 0 14130 5 25 345
114000 14318 0 14182 5 25 345
114400 14361 0 14239 5 25 345
114800 14412 0 14288 5 25 345
115200 14471 0 14329 5 25 345
115600 14523 0 14377 5 25 345
116000 14567 0 14433 5 25 345
116400 14620 0 14480 5 25 345
116800 14677 0 14523 5 25 345
117200 14727 0 14573 5 25 345
117600 14777 0 14623 5 25 345
118000 14826 0 14674 5 25 345
118400 14874 0 14726 5 25 345
118800 14920 0 14780 5 25 345
119200 14972 0 14828 5 25 345
119600 15018 0 14882 5 25 345
120000 15076 0 14924 5 25 345
120400 15127 0 14973 5 25 345
120800 15167 0 15033 5 25 345
121200 15213 0 15087 5 25 345
121600 15261 0 15139 5 25 345
122000 15319 0 15181 5 25 345
122400 15370 0 15230 5 25 345
122800 15420 0 15280 5 25 345
123200 15464 0 15336 5 25 345
123600 15508 0 15392 5 25 345
124000 15553 0 15447 5 25 345
124400 15604 0 15496 5 25 345
124800 15656 0 15544 5 25 345
125200 15704 0 15596 5 25 345
125600 15757 0 15643 5 25 345
126000 15804 0 15696 5 25 345
126400 15858 0 15742 5 25 345
126800 15915 0 15785 5 25 345
127200 15957 0 15843 5 25 345
127600 16008 0 15892 5 25 345
128000 16058 0 15942 5 25 345
128400 16115 0 15985 5 25 345
128800 16156 0 16044 5 25 345
129200 16209 0 16091 5 25 345
129600 16262 0 16138 5 25 345
130000 16305 0 16195 5 25 345
130400 16357 0 16243 5 25 345
130800 16409 0 16291 5 25 345
131200 16464 0 16336 5 25 345
131600 16510 0 16390 5 25 345
132000 16565 0 16435 5 25 345
132400 16615 0 16485 5 25 345
132800 16665 0 16535 5 25 345
133200 16710 0 16590 5 25 345
133600 16761 0 16639 5 25 345
134000 16801 0 16699 5 25 345
134400 16853 0 16747 5 25 345
134800 16905 0 16795 5 25 345
135200 16960 0 16840 5 25 345
135600 17011 0 16889 5 25 345
136000 17060 0 16940 5 25 345
136400 17110 0 16990 5 25 345
136800 17157 0 17043 5 25 345
137200 17212 0 17088 5 25 345
137600 17268 0 17132 5 25 345
138000 17325 0 17175 5 25 345
138400 17380 0 17220 6 24 344
138800 17420 0 17280 6 24 344
139200 17474 0 17326 6 24 344
139600 17524 0 17376 6 24 344
140000 17577 0 17423 6 24 344
140400 17625 0 17475 6 24 344
140800 17671 0 17529 6 24 344
141200 17721 0 17579 6 24 344
141600 17764 0 17636 6 24 344
142000 17814 0 17686 6 24 344
142400 17866 0 17734 6 24 344
142800 17909 0 17791 6 24 344
143200 17962 0 17838 6 24 344
143600 18016 0 17884 6 24 344
144000 18067 0 17933 6 24 344
144400 18122 0 17978 6 24 344
144800 18162 0 18038 6 24 344
145200 18209 0 18091 6 24 344
145600 18259 0 18141 6 24 344
146000 18301 0 18199 6 24 344
146400 18352 0 18248 6 24 344
146800 18402 0 18298 6 24 344
147200 18454 0 18346 6 24 344
147600 18499 0 18401 6 24 344
148000 18553 0 18447 6 24 344
148400 18603 0 18497 6 24 344
148800 18647 0 18553 6 24 344
149200 18700 0 18600 6 24 344
149600 18755 0 18645 6 24 344
150000 18802 0 18698 6 24 344
150400 18863 0 18737 6 24 344
150800 18911 0 18789 6 24 344
151200 18957 0 18843 6 24 344
151600 18998 0 18902 6 24 344
152000 19050 0 18950 6 24 344
152400 19107 0 18993 6 24 344
152800 19155 0 19045 6 24 344
153200 19208 0 19092 6 24 344
153600 19268 0 19132 6 24 344
154000 19328 1 19172 7 24 344
154400 19377 1 19223 7 24 344
154800 19418 1 19282 7 24 344
155200 19467 1 19333 7 24 344
155600 19511 1 19389 7 24 344
156000 19562 1 19438 7 24 344
156400 19615 1 19485 7 24 344
156800 19663 1 19537 7 24 344
157200 19715 1 19585 7 24 344
157600 19767 1 19633 7 24 344
158000 19815 1 19685 7 24 344
158400 19866 1 19734 7 24 344
158800 19917 1 19783 7 24 344
159200 19971 1 19829 7 24 344
159600 20030 1 19870 7 24 344
160000 20081 1 19919 7 24 344
160400 20130 1 19970 7 24 344
160800 20176 1 20024 7 24 344
161200 20225 1 20075 7 24 344
161600 20271 1 20129 7 24 344
162000 20318 1 20182 7 24 344
