# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
0 0 0 0 0 320 350
400 57 0 43 0 320 350
800 100 0 100 0 320 350
1200 155 0 145 0 320 350
1600 201 0 199 0 320 350
2000 252 0 248 0 320 350
2400 297 0 303 0 320 350
2800 345 0 355 0 320 350
3200 393 0 407 0 320 350
3600 439 0 461 0 320 350
4000 498 0 502 0 320 350
4400 548 0 552 0 320 350
4800 597 0 603 0 320 350
5200 644 0 656 0 320 350
5600 686 0 714 0 320 350
6000 733 0 767 0 320 350
6400 782 0 818 0 320 350
6800 830 0 870 0 320 350
7200 876 0 924 0 320 350
7600 921 0 979 0 320 350
8000 972 0 1028 0 320 350
8400 1031 0 1069 0 320 350
8800 1085 0 1115 0 320 350
9200 1137 0 1163 0 320 350
9600 1191 0 1209 0 320 350
10000 1236 0 1264 0 320 350
10400 1287 0 1313 0 320 350
10800 1337 0 1363 0 320 350
11200 1377 0 1423 0 320 350
11600 1434 0 1466 0 320 350
12000 1476 0 1524 0 320 350
12400 1535 0 1565 0 320 350
12800 1583 0 1617 0 320 350
13200 1626 0 1674 0 320 350
13600 1664 0 1736 0 320 350
14000 1717 0 1783 0 320 350
14400 1769 0 1831 0 320 350
14800 1820 0 1880 0 320 350
15200 1874 0 1926 0 320 350
15600 1929 0 1971 0 320 350
16000 1978 0 2022 0 320 350
16400 2041 0 2059 0 320 350
16800 2102 0 2098 0 320 350
17200 2146 0 2154 0 320 350
17600 2195 0 2205 0 320 350
18000 2242 0 2258 0 320 350
18400 2291 0 2309 0 320 350
18800 2342 0 2358 0 320 350
19200 2390 0 2410 0 320 350
19600 2442 0 2458 0 320 350
20000 2491 0 2509 0 320 350
20400 2536 0 2564 0 320 350
20800 2593 0 2607 0 320 350
21200 2643 0 2657 0 320 350
21600 2697 0 2703 0 320 350
22000 2756 0 2744 0 320 350
22400 2805 0 2795 0 320 350
22800 2856 0 2844 0 320 350
23200 2908 0 2892 0 320 350
23600 2953 0 2947 0 320 350
24000 3003 0 2997 0 320 350
24400 3054 0 3046 0 320 350
24800 3101 0 3099 0 320 350
25200 3158 0 3142 0 320 350
25600 3208 0 3192 0 320 350
26000 3249 0 3251 0 320 350
26400 3298 0 3302 0 320 350
26800 3356 0 3344 0 320 350
27200 3406 0 3394 0 320 350
27600 3455 0 3445 0 320 350
28000 3505 0 3495 0 320 350
28400 3549 0 3551 0 320 350
28800 3598 0 3602 0 320 350
29200 3647 0 3653 0 320 350
29600 3701 0 3699 0 320 350
30000 3747 0 3753 0 320 350
30400 3796 0 3804 0 320 350
30800 3847 0 3853 0 320 350
31200 3897 0 3903 0 320 350
31600 3936 0 3964 0 320 350
32000 3977 0 4023 0 320 350
32400 4027 0 4073 0 320 350
32800 4082 0 4118 0 320 350
33200 4140 0 4160 0 320 350
33600 4186 0 4214 0 320 350
34000 4239 0 4261 0 320 350
34400 4285 0 4315 0 320 350
34800 4334 0 4366 0 320 350
35200 4377 0 4423 0 320 350
35600 4423 0 4477 0 320 350
36000 4479 0 4521 0 320 350
36400 4526 0 4574 0 320 350
36800 4572 0 4628 0 320 350
37200 4621 0 4679 0 320 350
37600 4662 0 4738 0 320 350
38000 4717 0 4783 0 320 350
38400 4778 0 4822 0 320 350
38800 4821 0 4879 0 320 350
39200 4876 0 4924 0 320 350
39600 4924 0 4976 0 320 350
40000 4972 0 5028 0 320 350
40400 5019 0 5081 0 320 350
40800 5074 0 5126 0 320 350
41200 5129 0 5171 0 320 350
41600 5185 0 5215 0 320 350
42000 5235 0 5265 0 320 350
42400 5277 0 5323 0 320 350
42800 5318 0 5382 0 320 350
43200 5375 0 5425 0 320 350
43600 5430 0 5470 0 320 350
44000 5484 0 5516 0 320 350
44400 5538 0 5562 0 320 350
44800 5586 0 5614 0 320 350
45200 5631 0 5669 0 320 350
45600 5694 0 5706 0 320 350
46000 5745 0 5755 0 320 350
46400 5798 0 5802 0 320 350
46800 5846 0 5854 0 320 350
47200 5902 0 5898 0 320 350
47600 5948 0 5952 0 320 350
48000 5998 0 6002 0 320 350
48400 6051 0 6049 0 320 350
48800 6101 0 6099 0 320 350
49200 6152 0 6148 0 320 350
49600 6200 0 6200 0 320 350
50000 6241 0 6259 0 320 350
50400 6291 0 6309 0 320 350
50800 6344 0 6356 0 320 350
51200 6391 0 6409 0 320 350
51600 6440 0 6460 0 320 350
52000 6486 0 6514 0 320 350
52400 6535 0 6565 0 320 350
52800 6586 0 6614 0 320 350
53200 6639 0 6661 0 320 350
53600 6684 0 6716 0 320 350
54000 6732 0 6768 0 320 350
54400 6800 0 6800 0 320 350
54800 6841 0 6859 0 320 350
55200 6892 0 6908 0 320 350
55600 6943 0 6957 0 320 350
56000 6995 0 7005 0 320 350
56400 7043 0 7057 0 320 350
56800 7091 0 7109 0 320 350
57200 7143 0 7157 0 320 350
57600 7187 0 7213 0 320 350
58000 7241 0 7259 0 320 350
58400 7288 0 7312 0 320 350
58800 7344 0 7356 0 320 350
59200 7395 0 7405 0 320 350
59600 7438 0 7462 0 320 350
60000 7486 0 7514 0 320 350
60400 7532 0 7568 0 320 350
60800 7585 0 7615 0 320 350
61200 7633 0 7667 0 320 350
61600 7687 0 7713 0 320 350
62000 7732 0 7768 0 320 350
62400 7788 0 7812 0 320 350
62800 7846 0 7854 0 320 350
63200 7905 0 7895 0 320 350
63600 7954 0 7946 0 320 350
64000 8009 0 7991 0 320 350
64400 8066 0 8034 0 320 350
64800 8117 0 8083 0 320 350
65200 8172 0 8128 0 320 350
65600 8221 0 8179 0 320 350
66000 8268 0 8232 0 320 350
66400 8311 0 8289 0 320 350
66800 8361 0 8339 0 320 350
67200 8416 0 8384 0 320 350
67600 8466 0 8434 0 320 350
68000 8513 0 8487 0 320 350
68400 8565 0 8535 0 320 350
68800 8610 0 8590 0 320 350
69200 8652 0 8648 0 320 350
69600 8705 0 8695 0 320 350
70000 8754 0 8746 0 320 350
70400 8809 0 8791 0 320 350
70800 8861 0 8839 0 320 350
71200 8898 0 8902 0 320 350
71600 8952 0 8948 0 320 350
72000 8997 0 9003 0 320 350
72400 9045 0 9055 0 320 350
72800 9086 0 9114 0 320 350
73200 9133 0 9167 0 320 350
73600 9184 0 9216 0 320 350
74000 9238 0 9262 0 320 350
74400 9289 0 9311 0 320 350
74800 9340 0 9360 0 320 350
75200 9388 0 9412 0 320 350
75600 9441 0 9459 0 320 350
76000 9490 0 9510 0 320 350
76400 9543 0 9557 0 320 350
76800 9594 0 9606 0 320 350
77200 9646 0 9654 0 320 350
77600 9694 0 9706 0 320 350
78000 9748 0 9752 0 320 350
78400 9799 0 9801 0 320 350
78800 9846 0 9854 0 320 350
79200 9890 0 9910 0 320 350
79600 9937 0 9963 0 320 350
80000 9981 0 10019 0 320 350
80400 10034 0 10066 0 320 350
80800 10083 0 10117 0 320 350
81200 10134 0 10166 0 320 350
81600 10185 0 10215 0 320 350
82000 10241 0 10259 0 320 350
82400 10291 0 10309 0 320 350
82800 10344 0 10356 0 320 350
83200 10394 0 10406 0 320 350
83600 10445 0 10455 0 320 350
84000 10489 0 10511 0 320 350
84400 10538 0 10562 0 320 350
84800 10586 0 10614 0 320 350
85200 10642 0 10658 0 320 350
85600 10687 0 10713 0 320 350
86000 10740 0 10760 0 320 350
86400 10796 0 10804 0 320 350
86800 10843 0 10857 0 320 350
87200 10888 0 10912 0 320 350
87600 10925 0 10975 0 320 350
88000 10974 0 11026 0 320 350
88400 11025 0 11075 0 320 350
88800 11080 0 11120 0 320 350
89200 11130 0 11170 0 320 350
89600 11180 0 11220 0 320 350
90000 11233 0 11267 0 320 350
90400 11279 0 11321 0 320 350
90800 11330 0 11370 0 320 350
91200 11378 0 11422 0 320 350
91600 11424 0 11476 0 320 350
92000 11474 0 11526 0 320 350
92400 11528 0 11572 0 320 350
92800 11576 0 11624 0 320 350
93200 11622 0 11678 0 320 350
93600 11670 0 11730 0 320 350
94000 11726 0 11774 0 320 350
94400 11775 0 11825 0 320 350
94800 11823 0 11877 0 320 350
95200 11880 0 11920 0 320 350
95600 11936 0 11964 0 320 350
96000 11988 0 12012 0 320 350
96400 12035 0 12065 0 320 350
96800 12081 0 12119 0 320 350
97200 12132 0 12168 0 320 350
97600 12182 0 12218 0 320 350
98000 12240 0 12260 0 320 350
98400 12292 0 12308 0 320 350
98800 12341 0 12359 0 320 350
99200 12395 0 12405 0 320 350
99600 12447 0 12453 0 320 350
100000 12505 0 12495 0 320 350
100400 12557 0 12543 0 320 350
100800 12606 0 12594 0 320 350
101200 12663 0 12637 0 320 350
101600 12711 0 12689 0 320 350
102000 12764 0 12736 0 320 350
102400 12803 0 12797 0 320 350
102800 12850 0 12850 0 320 350
103200 12902 0 12898 0 320 350
103600 12957 0 12943 1 319 349
104000 12999 0 13001 1 319 349
104400 13053 0 13047 1 319 349
104800 13108 0 13092 1 319 349
105200 13154 0 13146 1 319 349
105600 13211 0 13189 1 319 349
106000 13263 0 13237 1 319 349
106400 13313 0 13287 1 319 349
106800 13363 0 13337 1 319 349
107200 13414 0 13386 1 319 349
107600 13468 0 13432 1 319 349
108000 13520 0 13480 1 319 349
108400 13566 0 13534 1 319 349
108800 13617 0 13583 1 319 349
109200 13675 0 13625 1 319 349
109600 13720 0 13680 1 319 349
110000 13775 0 13725 1 319 349
110400 13843 0 13757 1 319 349
110800 13902 0 13798 1 319 349
111200 13953 0 13847 1 319 349
111600 14010 0 13890 1 319 349
112000 14068 0 13932 1 319 349
112400 14123 0 13977 1 319 349
112800 14177 0 14023 1 319 349
113200 14225 0 14075 1 319 349
113600 14276 0 14124 1 319 349
114000 14328 0 14172 1 319 349
114400 14372 0 14228 1 319 349
114800 14421 0 14279 1 319 349
115200 14471 0 14329 1 319 349
115600 14516 0 14384 1 319 349
116000 14564 0 14436 1 319 349
116400 14604 0 14496 1 319 349
116800 14650 0 14550 1 319 349
117200 14700 0 14600 1 319 349
117600 14749 0 14651 1 319 349
118000 14788 0 14712 1 319 349
118400 14836 0 14764 1 319 349
118800 14884 0 14816 1 319 349
119200 14929 0 14871 1 319 349
119600 14983 0 14917 1 319 349
120000 15033 0 14967 1 319 349
120400 15080 0 15020 1 319 349
120800 15130 0 15070 1 319 349
121200 15180 0 15120 1 319 349
121600 15222 0 15178 1 319 349
122000 15264 0 15236 1 319 349
122400 15316 0 15284 1 319 349
122800 15362 0 15338 1 319 349
123200 15409 0 15391 1 319 349
123600 15455 0 15445 1 319 349
124000 15503 0 15497 1 319 349
124400 15561 0 15539 1 319 349
124800 15613 0 15587 1 319 349
125200 15673 0 15627 1 319 349
125600 15723 0 15677 1 319 349
126000 15775 0 15725 1 319 349
126400 15821 0 15779 1 319 349
126800 15876 0 15824 1 319 349
