# Time-averaged data for fix nvtstat
# TimeStep v_mtemp v_mpress v_mke v_mpe v_metot
10000 301.417 2031.74 523.208 -2576.52 -2053.31
20000 299.984 2027.69 520.719 -2586.8 -2066.08
30000 300.414 2024.1 521.467 -2575.58 -2054.12
40000 300.232 1929.56 521.15 -2576.32 -2055.17
50000 300.727 1838.26 522.01 -2579.33 -2057.32
60000 303.92 1917.59 527.553 -2586.46 -2058.91
70000 300.788 1893.22 522.115 -2592.86 -2070.75
80000 302.328 1901.31 524.788 -2571.23 -2046.44
90000 301.476 1963.04 523.31 -2582.76 -2059.45
100000 299.8 1706.36 520.401 -2593.15 -2072.75
110000 300.255 1945.18 519.698 -2572.6 -2052.9
120000 299.521 1748.15 518.429 -2558.68 -2040.25
130000 300.727 1858.94 520.516 -2571.82 -2051.31
140000 298.907 1857.4 517.365 -2571.75 -2054.38
150000 301.161 1940.05 521.267 -2568.89 -2047.62
160000 302.272 1977.85 523.19 -2559.83 -2036.64
170000 299.832 1750.19 518.966 -2560.95 -2041.98
180000 301.191 1724.45 521.318 -2570.84 -2049.53
190000 301.615 2103.64 522.053 -2548.98 -2026.93
200000 300.627 1898.87 520.343 -2561.25 -2040.91
210000 297.533 1919.08 514.987 -2575.3 -2060.32
220000 299.458 1886.54 518.319 -2570.33 -2052.01
230000 300.44 1861.94 518.526 -2551.64 -2033.11
240000 298.693 1785.29 515.511 -2555.25 -2039.74
250000 302.315 1714.51 519.362 -2548.99 -2029.63
260000 300.553 1696.28 514.241 -2504.59 -1990.35
270000 299.426 1590.89 512.313 -2525.98 -2013.67
280000 300.85 1565.2 514.751 -2522.42 -2007.67
290000 298.31 1530.97 510.404 -2522.31 -2011.91
300000 297.973 1641.35 508.499 -2509.24 -2000.74
310000 299.05 1467.43 510.184 -2508.49 -1998.3
320000 299.099 1501.21 510.268 -2502.56 -1992.29
330000 302.029 1509.38 515.267 -2513.64 -1998.37
340000 300.725 1587.83 513.042 -2514.9 -2001.86
350000 300.423 1462.53 512.526 -2510.1 -1997.57
360000 301.287 1527.94 512.504 -2499.02 -1986.52
370000 300.935 1346.88 511.904 -2515.09 -2003.19
380000 301.665 1504.26 513.146 -2491.54 -1978.39
390000 302.496 1416.92 514.561 -2501.15 -1986.59
400000 298.888 1492.54 508.424 -2499.16 -1990.73
410000 300.115 1451.82 510.51 -2495.63 -1985.12
420000 299.866 1610.05 510.087 -2487.9 -1977.81
430000 298.076 1448.72 507.041 -2494.24 -1987.2
440000 300.801 1438.79 511.678 -2506.45 -1994.77
450000 300.65 1499.25 511.42 -2508.63 -1997.21
460000 299.204 1389.43 508.961 -2490.75 -1981.79
470000 298.248 1478.75 507.335 -2504.2 -1996.86
480000 301.629 1556.1 513.085 -2489.64 -1976.55
490000 299.566 1386.81 509.577 -2504.78 -1995.2
500000 300.663 1390.69 511.443 -2504.15 -1992.71
510000 300.948 1344.7 511.926 -2503.5 -1991.58
520000 300.558 1497.35 511.264 -2492.45 -1981.19
530000 299.729 1610.3 509.854 -2491.68 -1981.83
540000 302.983 1528.13 515.39 -2495.45 -1980.06
550000 302.304 1526.65 514.235 -2497.96 -1983.72
560000 301.541 1326.13 512.935 -2515.76 -2002.82
570000 302.414 1544.18 514.421 -2494.72 -1980.3
580000 300.671 1518.26 511.456 -2495.5 -1984.04
590000 301.56 1331.88 511.471 -2490.22 -1978.75
600000 300.111 1411.99 509.012 -2486.61 -1977.6
610000 298.68 1425.45 505.472 -2471.72 -1966.24
620000 298.694 1382.15 505.125 -2467.52 -1962.4
630000 300.943 1257.5 508.928 -2480.69 -1971.76
640000 300.317 1301.03 507.87 -2482.19 -1974.32
650000 301.176 1234.68 509.322 -2483.93 -1974.61
660000 300.907 1324.03 508.868 -2498.61 -1989.74
670000 300.915 1540.15 508.882 -2458.17 -1949.29
680000 300.404 1408.38 508.018 -2466.54 -1958.53
690000 298.2 1317.92 504.29 -2462.41 -1958.12
700000 300.041 1406.53 507.403 -2471.42 -1964.02
710000 299.969 1406.93 507.281 -2474.55 -1967.27
720000 301.006 1468.91 509.035 -2461.08 -1952.04
730000 300.484 1304.11 508.153 -2475.77 -1967.62
740000 299.491 1470.83 506.473 -2471.28 -1964.81
750000 301.368 1356.05 509.648 -2480.58 -1970.93
760000 299.868 1426.16 507.111 -2471.86 -1964.75
770000 300.023 1109.29 507.372 -2485.97 -1978.6
780000 300.818 1303.5 508.716 -2474.15 -1965.43
790000 300.855 1346.92 508.781 -2473.07 -1964.28
800000 299.743 1389.4 505.411 -2464.13 -1958.72
810000 300.254 1202.7 506.271 -2472.53 -1966.26
820000 300.593 1148.69 506.844 -2477.1 -1970.26
830000 298.942 1243.08 504.06 -2462.45 -1958.39
840000 296.408 1261.95 499.787 -2466.26 -1966.47
850000 300.436 1318.53 506.578 -2456.23 -1949.65
860000 302.583 1336.14 510.199 -2465.83 -1955.63
870000 300.1 1305.18 506.012 -2464.35 -1958.34
880000 299.84 1302.93 505.574 -2460.76 -1955.19
890000 300.174 1251.64 506.136 -2468.01 -1961.88
900000 301.329 1508.7 508.084 -2445.45 -1937.36
910000 300.51 1231.15 506.704 -2473.42 -1966.72
920000 300.344 1402.5 506.424 -2453.1 -1946.68
930000 301.892 1429.73 509.034 -2455.19 -1946.15
940000 298.754 1273.35 503.743 -2465.65 -1961.9
950000 298.826 1345.15 503.863 -2455.43 -1951.57
960000 300.417 1270.66 506.546 -2454.63 -1948.08
970000 299.722 1234.22 505.375 -2460.86 -1955.49
980000 301.892 1178.43 509.034 -2459.3 -1950.27
990000 299.643 1329.28 505.242 -2456.09 -1950.85
1000000 301.298 1347.68 508.032 -2456.6 -1948.57
