# Time-averaged data for fix nvtstat
# TimeStep v_mtemp c_mdtemp v_mpress v_mke v_mpe v_metot
10000 298.943 298.943 2001.79 518.913 -2576.15 -2057.24
20000 303.122 303.122 1982.96 526.167 -2574 -2047.83
30000 299.66 299.66 2036.62 520.157 -2568.7 -2048.54
40000 299.517 299.517 2049.87 519.909 -2567.76 -2047.85
50000 300.098 300.098 2080.86 520.918 -2569.56 -2048.64
60000 299.949 299.949 2023.54 520.66 -2579.05 -2058.39
70000 300.788 300.788 1873.07 522.116 -2582.72 -2060.6
80000 301.953 301.953 1906.6 524.137 -2583.42 -2059.28
90000 298.212 298.212 1906.56 517.643 -2577.06 -2059.42
100000 295.907 295.907 1821.81 513.642 -2587.39 -2073.74
110000 300.864 300.864 1928.85 522.247 -2587.64 -2065.39
120000 299.895 299.895 1782.03 520.565 -2580.56 -2060
130000 301.42 301.42 1787.23 523.212 -2581.21 -2058
140000 299.946 299.946 1890.2 520.654 -2573.88 -2053.23
150000 302.056 302.056 1733.02 524.316 -2594.09 -2069.77
160000 299.617 299.617 2024.31 520.083 -2576.93 -2056.85
170000 300.306 300.306 2018.7 521.279 -2580.22 -2058.94
180000 298.042 298.042 1894.8 517.349 -2582.74 -2065.39
190000 301.478 301.478 1988.87 523.312 -2580.2 -2056.89
200000 301.587 301.587 1817.77 523.502 -2578.94 -2055.43
210000 301.703 301.703 1960.6 523.703 -2592.39 -2068.68
220000 301.047 301.047 1946.69 522.565 -2578.21 -2055.64
230000 302.388 302.388 1930.19 524.892 -2579.21 -2054.32
240000 299.705 299.705 1885.68 520.236 -2581.53 -2061.29
250000 299.057 299.057 1906.82 519.11 -2579.73 -2060.62
260000 301.1 301.1 1854.93 522.657 -2590.25 -2067.59
270000 301.324 301.324 1878.2 523.047 -2593.85 -2070.8
280000 302.946 302.946 1803.14 525.861 -2597.61 -2071.75
290000 299.065 299.065 1985.05 519.125 -2581.27 -2062.15
300000 299.742 299.742 1877.37 520.301 -2580.21 -2059.91
310000 300.089 300.089 1994.62 520.903 -2592.65 -2071.74
320000 297.286 297.286 2148.97 516.037 -2568.86 -2052.83
330000 300.484 300.484 2037.94 521.588 -2575.67 -2054.08
340000 300.094 300.094 1904.68 520.911 -2589.92 -2069.01
350000 299.669 299.669 1813.83 520.174 -2593.09 -2072.92
360000 301.785 301.785 2030.95 523.846 -2574.19 -2050.34
370000 300.879 300.879 2083.3 522.273 -2578.03 -2055.76
380000 301.489 301.489 1851.04 523.332 -2590.06 -2066.73
390000 301.16 301.16 2084.86 522.761 -2566.05 -2043.29
400000 299.547 299.547 1828.97 519.961 -2589.38 -2069.42
410000 301.84 301.84 2025.53 523.941 -2578.7 -2054.76
420000 299.557 299.557 1938.19 519.978 -2574.66 -2054.69
430000 299.041 299.041 1931.02 519.082 -2581.47 -2062.38
440000 300.736 300.736 1869.97 522.025 -2583.51 -2061.49
450000 300.892 300.892 1924.02 522.296 -2578.06 -2055.77
460000 301.782 301.782 2081.23 523.84 -2562.34 -2038.5
470000 301.759 301.759 2038.84 523.8 -2580.87 -2057.07
480000 299.646 299.646 2039.25 520.133 -2573.27 -2053.14
490000 298.376 298.376 2013.6 517.929 -2577.19 -2059.26
500000 300.966 300.966 1937.12 522.424 -2585.07 -2062.64
510000 299.69 299.69 1980.05 520.209 -2580.49 -2060.28
520000 300.718 300.718 1939.4 520.499 -2571.13 -2050.63
530000 300.357 300.357 1960.7 519.876 -2549.77 -2029.89
540000 301.734 301.734 1934.34 522.259 -2565.03 -2042.78
550000 298.77 298.77 1804.88 517.128 -2575.86 -2058.73
560000 298.935 298.935 1876.14 517.414 -2574.42 -2057.01
570000 300.262 300.262 1667.04 519.414 -2576.51 -2057.1
580000 300.837 300.837 1673.1 519.212 -2575.96 -2056.75
590000 299.996 299.996 1743.58 517.759 -2562.91 -2045.15
600000 299.975 299.975 1819.98 517.724 -2545.64 -2027.91
610000 301.294 301.294 1799.93 520 -2549.52 -2029.52
620000 299.319 299.319 1700.84 515.105 -2548.79 -2033.69
630000 304.16 304.16 1694.03 523.134 -2536.48 -2013.34
640000 299.236 299.236 1586.76 513.475 -2522.16 -2008.69
650000 301.602 301.602 1604.59 517.535 -2539.98 -2022.45
660000 299.507 299.507 1777.6 513.941 -2520.87 -2006.93
670000 302.096 302.096 1768.96 518.382 -2523.61 -2005.22
680000 300.253 300.253 1620.08 515.22 -2532.09 -2016.87
690000 301.151 301.151 1728.23 516.76 -2522.88 -2006.12
700000 300.613 300.613 1745.66 515.839 -2526.31 -2010.47
710000 298.686 298.686 1616.61 512.531 -2533.56 -2021.02
720000 301.493 301.493 1756.73 517.2 -2535.97 -2018.77
730000 297.241 297.241 1676.34 508.575 -2514.67 -2006.1
740000 299.225 299.225 1481.09 511.97 -2523.68 -2011.71
750000 301.665 301.665 1626.96 516.144 -2522.52 -2006.37
760000 300.048 300.048 1673.28 513.378 -2515.65 -2002.27
770000 298.106 298.106 1619.77 510.055 -2514.37 -2004.31
780000 298.739 298.739 1645.03 511.138 -2511.59 -2000.45
790000 299.491 299.491 1621.92 512.424 -2525.14 -2012.72
800000 300.736 300.736 1505.95 514.554 -2519.68 -2005.13
810000 302.02 302.02 1527.81 516.751 -2526.9 -2010.15
820000 300.559 300.559 1706.74 514.253 -2512.29 -1998.04
830000 301.81 301.81 1556.11 516.392 -2525.03 -2008.63
840000 300.549 300.549 1624.35 514.234 -2515.99 -2001.76
850000 301.055 301.055 1420.48 515.1 -2520.76 -2005.66
860000 301.426 301.426 1642.65 515.735 -2521.08 -2005.35
870000 300.027 300.027 1586.01 513.341 -2510.2 -1996.86
880000 300.886 300.886 1500.48 514.812 -2524.3 -2009.48
890000 301.794 301.794 1622.04 516.364 -2530.78 -2014.42
900000 302.55 302.55 1499.82 517.658 -2527.95 -2010.29
910000 301.257 301.257 1591.16 515.447 -2516.08 -2000.63
920000 298.781 298.781 1571.15 511.21 -2520.1 -2008.89
930000 299.68 299.68 1611.48 512.748 -2521.89 -2009.14
940000 298.385 298.385 1552.15 510.532 -2525.44 -2014.91
950000 300.999 300.999 1460.5 515.005 -2520.02 -2005.02
960000 299.04 299.04 1579.18 511.504 -2534.36 -2022.86
970000 299.107 299.107 1453.95 510.282 -2518.93 -2008.65
980000 299.275 299.275 1580.34 510.569 -2509.77 -1999.2
990000 301.98 301.98 1555.65 515.183 -2507.45 -1992.27
1000000 302.548 302.548 1726.35 516.152 -2503.31 -1987.15
