# Time-averaged data for fix nvtstat
# TimeStep v_mtemp c_mdtemp v_mpress v_mke v_mpe v_metot
10000 300.929 300.929 1976.05 521.615 -2571.61 -2050
20000 298.791 298.791 1979.82 517.165 -2563.79 -2046.62
30000 299.061 299.061 1833.03 516.146 -2572.81 -2056.67
40000 301.872 301.872 1828.6 520.997 -2571.15 -2050.15
50000 301.758 301.758 1747.04 520.8 -2573 -2052.19
60000 301.781 301.781 1827.67 519.341 -2555.64 -2036.3
70000 300.446 300.446 1773.2 515.551 -2560.05 -2044.5
80000 302.208 302.208 1868.2 518.575 -2548.25 -2029.67
90000 301.953 301.953 1762.35 518.137 -2555.77 -2037.63
100000 299.545 299.545 1675.82 512.517 -2556.22 -2043.7
110000 298.736 298.736 1723.28 511.133 -2544.74 -2033.61
120000 302.703 302.703 1671.14 517.92 -2548.3 -2030.38
130000 300.707 300.707 1598.52 514.506 -2551.83 -2037.32
140000 300.956 300.956 1624.34 514.328 -2547.64 -2033.31
150000 299.85 299.85 1807.54 511.549 -2528.73 -2017.18
160000 300.468 300.468 1615.63 512.603 -2540.81 -2028.21
170000 301.098 301.098 1781.81 512.703 -2530.46 -2017.76
180000 301.055 301.055 1548.01 512.11 -2544.84 -2032.73
190000 300.191 300.191 1656.7 510.64 -2536.82 -2026.18
200000 299.093 299.093 1657.96 508.771 -2521.58 -2012.81
210000 300.727 300.727 1611.13 510.357 -2513.91 -2003.55
220000 301.878 301.878 1584.98 512.009 -2520.47 -2008.46
230000 302.884 302.884 1782.19 513.716 -2518.71 -2004.99
240000 299.77 299.77 1507.29 506.944 -2527.7 -2020.75
250000 299.566 299.566 1470.62 505.111 -2515.72 -2010.61
260000 298.426 298.426 1464.38 503.189 -2516.84 -2013.65
270000 298.066 298.066 1460.63 502.582 -2513.47 -2010.88
280000 301.752 301.752 1509.55 508.798 -2495.36 -1986.56
290000 299.192 299.192 1483.21 502.995 -2511.34 -2008.35
300000 300.07 300.07 1358.81 504.471 -2507.79 -2003.32
310000 297.865 297.865 1326.08 499.285 -2505.29 -2006
320000 301.209 301.209 1407.93 504.889 -2512.33 -2007.44
330000 301.174 301.174 1457.03 504.831 -2501.35 -1996.52
340000 300.487 300.487 1540.87 502.558 -2484.03 -1981.48
350000 301.897 301.897 1355.89 504.021 -2495.74 -1991.72
360000 298.181 298.181 1238.3 496.851 -2490.86 -1994.01
370000 300.86 300.86 1440.31 501.315 -2468.81 -1967.49
380000 299.889 299.889 1325.96 499.696 -2488.64 -1988.94
390000 299.759 299.759 1388.66 499.48 -2491.78 -1992.3
400000 302.302 302.302 1378.31 503.718 -2478.73 -1975.01
410000 300.705 300.705 1262.5 501.057 -2483.98 -1982.92
420000 301.422 301.422 1321.9 502.251 -2482.56 -1980.31
430000 302.558 302.558 1214.87 504.144 -2502.61 -1998.46
440000 299.908 299.908 1162.42 499.728 -2488.19 -1988.46
450000 299.1 299.1 1257.99 498.382 -2482.54 -1984.15
460000 300.003 300.003 1395.95 499.887 -2480.02 -1980.13
470000 302.248 302.248 1467.47 503.627 -2476.78 -1973.15
480000 300.707 300.707 1267.92 502.554 -2503.8 -2001.25
490000 300.873 300.873 1326.25 501.033 -2479.57 -1978.54
500000 302.738 302.738 1294.66 502.94 -2469.11 -1966.17
510000 299.644 299.644 1326.42 496.312 -2471.7 -1975.39
520000 298.57 298.57 1270.02 494.532 -2470.09 -1975.56
530000 301.577 301.577 1298.2 499.513 -2470.8 -1971.29
540000 299.847 299.847 1387.5 496.647 -2466.01 -1969.36
550000 299.432 299.432 1081.78 495.961 -2471.3 -1975.34
560000 300.477 300.477 1221.79 497.69 -2472.39 -1974.7
570000 300.726 300.726 1192.35 498.103 -2483.54 -1985.43
580000 300.108 300.108 1157.86 497.08 -2483.7 -1986.62
590000 299.906 299.906 1287.31 497.862 -2474.48 -1976.62
600000 301.689 301.689 1370.45 501.198 -2473.12 -1971.93
610000 299.877 299.877 1217.85 498.188 -2473.66 -1975.48
620000 301.811 301.811 1324.38 501.4 -2467.78 -1966.38
630000 300.273 300.273 1192.81 498.696 -2482.56 -1983.86
640000 300.67 300.67 989.137 498.01 -2480.07 -1982.06
650000 298.665 298.665 1226.48 493.803 -2469.26 -1975.46
660000 301.172 301.172 1189.35 497.346 -2467.28 -1969.93
670000 298.888 298.888 1203.22 493.574 -2458.51 -1964.93
680000 298.913 298.913 1030.26 493.615 -2472.41 -1978.8
690000 299.363 299.363 1089.55 494.358 -2457.7 -1963.34
700000 300.428 300.428 1153.66 496.118 -2467.23 -1971.11
710000 302.201 302.201 1163.92 499.046 -2459.44 -1960.39
720000 301.148 301.148 1124.36 498.802 -2477.11 -1978.31
730000 298.663 298.663 1246.93 494.686 -2461.34 -1966.65
740000 299.704 299.704 1187.87 496.034 -2470.27 -1974.23
750000 300.979 300.979 1208.09 497.027 -2461.4 -1964.37
760000 302.639 302.639 1342.6 501.273 -2465.38 -1964.11
770000 298.946 298.946 1367.27 495.154 -2461.91 -1966.76
780000 301.821 301.821 1159.76 499.918 -2467.63 -1967.71
790000 300.371 300.371 1302.27 498.637 -2472.67 -1974.03
800000 301.508 301.508 1482.79 502.395 -2472.49 -1970.1
810000 301.041 301.041 1251.41 501.616 -2489.34 -1987.73
820000 302.28 302.28 1201.37 503.681 -2486.71 -1983.03
830000 302.239 302.239 1269.48 503.456 -2484.01 -1980.55
840000 300.124 300.124 1266.78 499.787 -2486.05 -1986.26
850000 300.683 300.683 1296.22 501.02 -2497.02 -1996
860000 300.641 300.641 1348.58 500.95 -2488.47 -1987.52
870000 300.008 300.008 1306.64 499.896 -2470.54 -1970.64
880000 299.826 299.826 1260.2 499.593 -2497.65 -1998.05
890000 300.287 300.287 1161.62 501.852 -2500.34 -1998.49
900000 300.018 300.018 1336.94 501.402 -2495.31 -1993.9
910000 301.817 301.817 1334.53 504.408 -2490.72 -1986.31
920000 300.676 300.676 1361.37 502.501 -2498.04 -1995.54
930000 301.658 301.658 1215.81 504.143 -2486.56 -1982.41
940000 302.526 302.526 1226.09 504.995 -2495.67 -1990.68
950000 301.674 301.674 1289.67 503.647 -2498.79 -1995.14
960000 300.99 300.99 1341.38 501.381 -2484.27 -1982.89
970000 298.143 298.143 1133.69 493.825 -2472.56 -1978.74
980000 298.737 298.737 1094.57 494.434 -2467.76 -1973.33
990000 301.673 301.673 1213.8 498.174 -2452.93 -1954.76
1000000 301.928 301.928 1147.69 498.895 -2466.43 -1967.54
